"identifier","alternative_identifiers","country","continent","region","culture","epoch","group","comment","latitude","longitude","sex","site","site_detail","mt_hg","ychr_hg","year_from","year_to","date_detail","bp","c14_lab_code","reference_names","reference_links","reference_data_links","c14_sample_tag","c14_layer_tag","avg_coverage","sequence_source","ychr_snps"
"30900","","Turkey","Asia","Anatolia","Çatalhöyük","Neolithic","NENE","Middle Neolithic, probable XY",37.666667,32.828056,"U","Çatalhöyük","","U","",-6450,-6380,"6450-6380 calBCE","","","Chyleński et al. 2019","http://dx.doi.org/10.3390/genes10030207","https://www.ncbi.nlm.nih.gov/popset/1561759632","0","1",36.3,"reconstructed",""
"A_10","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"M","Arzhan 2","","A","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.13,"bam",""
"A_11","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","G","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_14","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","T1a","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_17","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"F","Arzhan 2","","H","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.03,"bam",""
"A_19","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","C4","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_2","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","A8","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_20","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","G2a","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_21","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","A4","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_3","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","G","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_4","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","D4b1a2a","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_5","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","C5b1","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_6","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","U5a1f1","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_7","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","Y1","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_8","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","U4a3","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"A_9","","Russia","Asia","Siberia","Aldy Bel","Iron Age","IASI","Tuva",52.083333,93.7,"U","Arzhan 2","","U5a1d2b","",-700,-600,"700-600 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"AED_106","SAMEA104354379","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",48.2924,11.9053,"M","Altenerding - Klettham","spatha, belt, bag, vessel, glass","V3","",480,510,"480 – 510 AD","","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","0","1",232.41,"bam",""
"AED_1108","SAMEA104354380","Germany","Europe","central Europe","Thuringian","Middle Ages","MAGe","",48.2924,11.9053,"F","Altenerding - Klettham","spatha, belt, bag, vessel, glass","U4a2a","",355,532,"355 – 365 cal AD, 381 – 433 cal AD, 489 – 532 cal AD, 460 – 510 AD","1601±19","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","1","0",214.59,"bam",""
"AED_1119","SAMEA104354381","Germany","Europe","central Europe","Alamannic-Frankish","Middle Ages","MAGe","",48.2924,11.9053,"F","Altenerding - Klettham","spatha, belt, bag, vessel, glass","W1e1a","",510,530,"510 – 530 AD","","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","0","1",255.74,"bam",""
"AED_1135","SAMEA104354382","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",48.2924,11.9053,"F","Altenerding - Klettham","spatha, belt, bag, vessel, glass","H60a","",480,530,"480 – 530 AD","","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","0","1",228.33,"bam",""
"AED_125","SAMEA104354383","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",48.2924,11.9053,"F","Altenerding - Klettham","spatha, belt, bag, vessel, glass","K1a","",338,535,"338 – 475 cal AD, 485 – 535 cal AD","1636±20","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","1","0",341.24,"bam",""
"AED_204","SAMEA104354384","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",48.2924,11.9053,"F","Altenerding - Klettham","spatha, belt, bag, vessel, glass","X2b","",480,510,"480 – 510 AD","","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","0","1",247.91,"bam",""
"AED_249","SAMEA104354385","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",48.2924,11.9053,"M","Altenerding - Klettham","spatha, belt, bag, vessel, glass","T2c1d1a","",460,510,"460 – 510 AD","","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","0","1",263.83,"bam",""
"AED_432","SAMEA104354386","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",48.2924,11.9053,"F","Altenerding - Klettham","spatha, belt, bag, vessel, glass","H1h1","",480,530,"480 – 530 AD","","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","0","1",384.73,"bam",""
"AED_513","SAMEA104354387","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",48.2924,11.9053,"F","Altenerding - Klettham","spatha, belt, bag, vessel, glass","H7a","",261,535,"261 – 279 cal AD, 326 – 475 cal AD, 485 – 535 cal AD, 480 – 510 AD","1649±23","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","1","0",234.28,"bam",""
"AED_92","SAMEA104354388","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",48.2924,11.9053,"M","Altenerding - Klettham","spatha, belt, bag, vessel, glass","Ua4","",480,510,"480 – 510 AD","","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","0","1",380.15,"bam",""
"AEH_I","SAMEA104354389","Germany","Europe","central Europe","Ostrogothic","Middle Ages","MAGe","",48.9167,12.2,"F","Alteglofsheim","1 bow brooch, bracelet","H5","",346,529,"346 – 370 cal AD, 377 – 430 cal AD, 492 – 529 cal AD, 480 – 510 AD","1639±20","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","1","0",322.38,"bam",""
"AfontovaGora3","AfontovaGora3_d","Russia","Asia","Siberia","Hunter-Gatherer","Mesolithic","HGE","",56.02,92.87,"F","Afontova Gora","","R1b","",-16480,-15480,"16480-15480 calBCE (14710±60 BP, MAMS-27186)","14710±60","MAMS-27186","Fu et al. 2016","https://dx.doi.org/10.1038/nature17993","https://www.ebi.ac.uk/ena/data/view/PRJEB13123","1","0",0.0,"<NA>",""
"AH1","13030,AH1.SG","Iran","Asia","Middle East","Iran_N","Neolithic","NEME","dubious site location from Marshall JE, PhD thesis (http://etheses.dur.ac.uk/3547/1/Missing_Links.pdf)",34.18,48.17,"F","Tepe Abdul Hosein, Central Zagros","","R2","",-8200,-7700,"8200-7700 BCE [layer date based on 8205-7756 calBCE (8833±41 BP, MAMS-25472) and 8204-7755 calBCE (8832±41 BP, MAMS-25473)]","","","Broushaki et al. 2016","https://dx.doi.org/10.1126/science.aaf7943","https://www.ncbi.nlm.nih.gov/nuccore/KX353758.1","0","1",0.0,"fasta",""
"AH2","19001-SK#1,AH2.SG","Iran","Asia","Middle East","Iran_N","Neolithic","NEME","dubious site location from Marshall JE, PhD thesis (http://etheses.dur.ac.uk/3547/1/Missing_Links.pdf)",34.18,48.17,"M","Tepe Abdul Hosein, Central Zagros","","R2","J2b",-8205,-7756,"8205-7756 calBCE (8833±41 BP, MAMS-25472)","8833±41","MAMS-25472","Broushaki et al. 2016","https://dx.doi.org/10.1126/science.aaf7943","https://www.ncbi.nlm.nih.gov/nuccore/KX353758.1","1","0",0.0,"fasta",""
"AH4","10035,AH4.SG","Iran","Asia","Middle East","Iran_N","Neolithic","NEME","dubious site location from Marshall JE, PhD thesis (http://etheses.dur.ac.uk/3547/1/Missing_Links.pdf)",34.18,48.17,"F","Tepe Abdul Hosein, Central Zagros","","T2c","",-8204,-7755,"8204-7755 calBCE (8832±41 BP, MAMS-25473)","8832±41","MAMS-25473","Broushaki et al. 2016","https://dx.doi.org/10.1126/science.aaf7943","https://www.ncbi.nlm.nih.gov/nuccore/KX353758.1","1","0",0.0,"fasta",""
"Ak1_1","Ak1_1*","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Ukok)",49.283333,87.533333,"U","Ak Alakha 1","","C4a1+16129","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ak4_1","Ak4_1*","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Ukok)",49.283333,87.533333,"U","Ak Alakha 4","","A","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ak5_1","Ak5_1*","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Ukok)",49.283333,87.533333,"U","Ak Alakha 5","","C4","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ak5_4","Ak5_4*","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Ukok)",49.283333,87.533333,"U","Ak Alakha 5","","D4b1","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ak5_5","Ak5_5*","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Ukok)",49.283333,87.533333,"U","Ak Alakha 5","","U2e1a","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ak5_6","Ak5_6*","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Ukok)",49.283333,87.533333,"U","Ak Alakha 5","","U2e1a","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ak5_7","Ak5_7*","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Ukok)",49.283333,87.533333,"U","Ak Alakha 5","","C4a1+16129","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ak5_8","Ak5_8*","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Ukok)",49.283333,87.533333,"U","Ak Alakha 5","","A","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ala_1","","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Chuya)",50.2,87.7,"U","Alagail 2","","C4a1+16129","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ala_2","","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Chuya)",50.2,87.7,"U","Alagail 2","","C4","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Ala_4","Ala_4*","Russia","Asia","Altai","Pazyryk","Iron Age","IAAL","Russian Altai (Chuya)",50.2,87.7,"U","Alagail 2","","T","",-400,-300,"400-300 BCE","","","Unterländer et al. 2017","https://doi.org/10.1038/ncomms14615","https://www.ebi.ac.uk/ena/data/view/PRJEB18686","0","1",0.0,"bam",""
"Alh_1","SAMEA104354390","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",49.5541,10.5083,"M","Altheim","disturbed grave","J2a2b","",200,600,"","","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","0","1",196.55,"bam",""
"Alh_10","SAMEA104354391","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",49.5541,10.5083,"F","Altheim","disturbed grave","I1","",387,535,"387 – 475 cal AD, 485 – 535 cal AD","1619±22","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","1","0",160.8,"bam",""
"Alh_2","SAMEA104354392","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",49.5541,10.5083,"F","Altheim","disturbed grave","H2a2a1","",260,535,"260 – 535 cal AD","1651±40","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","1","0",252.11,"bam",""
"Alh_3","SAMEA104354393","Germany","Europe","central Europe","Germany_EMA","Middle Ages","MAGe","",49.5541,10.5083,"F","Altheim","disturbed grave","H2a2b","",356,535,"356 – 535 cal AD, 480 – 510 AD","1631±19","","Veeramah et al. 2018","https://doi.org/10.1073/pnas.1719880115","https://www.ebi.ac.uk/ena/data/view/SAMEA104354379","1","0",279.12,"bam",""
"Ampack_1","none","Germany","Europe","central Europe","Bell Beaker","Bronze Age","BBC","",48.259125,10.873849,"M","Königsbrunn, Ampack","","T2b33","",-2476,-2310,"cal BC 2476-2310","3924±23","MAMS-18887","Knipper et al. 2017","https://doi.org/10.1073/pnas.1706355114","https://www.ncbi.nlm.nih.gov/popset/1240339410","1","0",1897.4,"reconstructed",""
"ANI152","VAR43","Bulgaria","Europe","Balkans","Bulgaria_Varna_Eneolithic1","Copper Age","CABA","",43.21,27.86,"M","Varna","","U2","CT",-4683,-4406,"4683-4406 calBCE [4683-4488 calBCE (5720±29 BP, OxA-13685), 4550-4406 calBCE (5662±27 BP, MAMS-15095)]","5720±29","OxA-13685","Mathieson et al. 2018","https://dx.doi.org/10.1038/nature25778","https://www.ebi.ac.uk/ena/data/view/PRJEB22652","1","0",0.0,"bam","CT:M5578:6619341C->A,CT:M5738:17909505G->A"
"ANI153","VAR44","Bulgaria","Europe","Balkans","Bulgaria_Varna_Eneolithic1","Copper Age","CABA","",43.21,27.86,"M","Varna","","U4","R1",-4551,-4374,"4551-4374 calBCE (5657±30 BP, OxA-13692)","5657±30","OxA-13692","Mathieson et al. 2018","https://dx.doi.org/10.1038/nature25778","https://www.ebi.ac.uk/ena/data/view/PRJEB22652","1","0",0.0,"bam","R1:M306:22750583C->A"
"ANI159","VAR117-I,ANI159-ANI181","Bulgaria","Europe","Balkans","Bulgaria_Varna_Eneolithic2","Copper Age","CABA","",43.21,27.86,"M","Varna","","T2b2b","G2a2b2b",-4711,-4530,"4711-4530 calBCE (5766±36 BP, OxA 13848)","5766±36","","Mathieson et al. 2018","https://dx.doi.org/10.1038/nature25778","https://www.ebi.ac.uk/ena/data/view/PRJEB22652","1","0",0.0,"bam","G2a2b2:CTS9957:19170699C->T,G2a:M3397:21605685G->C,G2a:M3408:22109159G->C,G2:CTS2406:14294068C->T,G2:F1294:8545324T->A,G2:F3220:21637589G->C,G2:F3344:22697266G->A,G2:M3579:21147058A->G,G:CTS10026:19215139A->T,G:CTS11228:23023554C->A,G:CTS11529:23151673T->C,G:F1131:8240725C->T,G:L382:14469411C->A,G:L522:17533325A->C,G:M3450:6931141C->G,G:M3482:8454233G->A,G:M3485:8563874C->T,G:M3597:21865624G->A,G:P257:14432928G->A,G:PF3134:15275200C->G,G2a2b:L30:15604899C->T,G2:CTS4264:15528792T->C,G2:CTS6742:17088129G->C,G:CTS995:7132348G->C,G:CTS2125:14190447A->G,G:CTS5317:16203361G->C,G:CTS9710:19033112G->A,G:M3266:8422993T->A,G:M3464:7537950C->T,G:M3470:7830068T->C,G:M3471:7840218C->A,G:M3481:8387539G->A,G:CTS4479:15667235G->A,G:CTS12654:28658660G->T,G:CTS827:7038432C->G,G2a:CTS9318:18819146T->A,G2a:CTS11463:23122426G->A,G:CTS282:2871867A->G,G2a2b2b:F705:2659191T->C,G2a2b2b:CTS5434:16271769A->G,G2a2b2b:F1581:9646643G->C,G2a2b2b:F1760:14323704T->C,G2a2b2b:F2419:17192221G->A,G2a2b2b:PF3359:7877472G->A,G2a2b2b:F1175:8399197G->A,G2a2b2b:F1429:8841269G->T,G2a2b2b:PF3413:19399866T->C,G2a2b2b:PF3404:17632283G->A"
"ANI160","VAR127","Bulgaria","Europe","Balkans","Bulgaria_Varna_Eneolithic2","Copper Age","CABA","",43.21,27.86,"M","Varna","","H1ag","G2",-4685,-4499,"4685-4499 calBCE (5735±31 BP, OxA-24041)","5735±31","OxA-24041","Mathieson et al. 2018","https://dx.doi.org/10.1038/nature25778","https://www.ebi.ac.uk/ena/data/view/PRJEB22652","1","0",0.0,"bam","G2:CTS1900:14116322T->A,G:CTS34:2681740G->A,G:F1131:8240725C->T,G2:CTS6742:17088129G->C,G:M3464:7537950C->T,G:S1435:13658486C->G,G:CTS1139:7231638A->G"
"ANI163","VAR158","Bulgaria","Europe","Balkans","Bulgaria_Varna_Eneolithic3","Copper Age","CABA","",43.21,27.86,"F","Varna","","H7a1","",-4711,-4542,"4711-4542 calBCE [4711-4550 calBCE (5787±30 BP, OxA-13688), 4686-4542 calBCE (5755±24 BP, MAMS-30944)]","5787±30","OxA-13688","Mathieson et al. 2018","https://dx.doi.org/10.1038/nature25778","https://www.ebi.ac.uk/ena/data/view/PRJEB22652","1","0",0.0,"bam",""
"Ardu1","MA976","Estonia","Europe","Baltic","Corded Ware","Late Neolithic","CWC","",59.1,25.366667,"M","Ardu, Harju county","","T2a1a","R1a-Z645",-2850,-2050,"4800–4000 calBP","4110±40","Poz-10824","Saag et al. 2017","https://doi.org/10.1016/j.cub.2017.06.022","https://www.ebi.ac.uk/ena/data/view/PRJEB21037","1","0",98.72,"bam",""
"Ardu2","MA969","Estonia","Europe","Baltic","Corded Ware","Late Neolithic","CWC","",59.1,25.366667,"M","Ardu, Harju county","","U5b2c","R1a-Z645",-2921,-2555,"4871–4505 calBP","4110±40","","Saag et al. 2017","https://doi.org/10.1016/j.cub.2017.06.022","https://www.ebi.ac.uk/ena/data/view/PRJEB21037","1","0",70.31,"bam",""
"arm1","Tomb 1,G9","Armenia","Asia","Caucasus","Kura-Araxes","Bronze Age","BACA","Early Bronze Age",40.87,43.75,"U","Kaps","","K3","",-3000,-2800,"3000-2800 BC","","","Margaryan et al. 2017","https://doi.org/10.1016/j.cub.2017.05.087","https://www.ncbi.nlm.nih.gov/nuccore/MF362701","0","1",25.3,"fasta",""
"arm10","G-1","Armenia","Asia","Caucasus","Armenian","Classical Age","CLCA","",40.72,43.82,"U","Azatan","","H13a1a2","",-719,-434,"719-434 BC","2475±26","","Margaryan et al. 2017","https://doi.org/10.1016/j.cub.2017.05.087","https://www.ncbi.nlm.nih.gov/nuccore/MF362701","1","0",31.1,"fasta",""
"arm11","skeleton 2","Armenia","Asia","Caucasus","Lchashen-Metsamor","Bronze Age","BACA","Late Bronze Age",40.2,45.86,"U","Sotk 1","","U3b","",-1300,-1100,"1300-1100 BC","","","Margaryan et al. 2017","https://doi.org/10.1016/j.cub.2017.05.087","https://www.ncbi.nlm.nih.gov/nuccore/MF362701","0","1",21.2,"fasta",""
"arm12","Coll 7","Armenia","Asia","Caucasus","Armenian","Middle Ages","MACA","",40.2,45.86,"U","Sotk 1","","J1d6","",728,930,"728-930 AD","1242±39","","Margaryan et al. 2017","https://doi.org/10.1016/j.cub.2017.05.087","https://www.ncbi.nlm.nih.gov/nuccore/MF362701","1","0",28.9,"fasta",""
"arm13","Arm_115","Armenia","Asia","Caucasus","Lchashen-Metsamor","Iron Age","IACA","Early Iron Age",40.14,44.11,"U","Metsamor","","U2e2a1","",-1100,-900,"1100-900 BC","","","Margaryan et al. 2017","https://doi.org/10.1016/j.cub.2017.05.087","https://www.ncbi.nlm.nih.gov/nuccore/MF362701","0","1",21.1,"fasta",""
